日付 	始値 	高値 	安値 	終値 	出来高 	調整後終値*
2013-10-4	2,800	3,010	2,720	3,005	21,639,000	3,005
2013-10-3	2,440	2,785	2,414	2,720	19,759,200	2,720
2013-10-2	2,400	2,482	2,330	2,481	13,240,000	2,481
2013-10-1	2,265	2,395	2,260	2,265	5,212,800	2,265
2013-9-30	2,445	2,446	2,280	2,300	7,182,900	2,300
2013-9-27	2,227	2,447	2,200	2,345	13,688,500	2,345
2013-9-26	1,873	2,139	1,861	2,100	7,707,500	2,100
2013-9-25	6,700	6,780	5,670	5,860	2,980,303	1,953
2013-9-24	6,580	6,780	6,050	6,350	3,153,303	2,116
2013-9-20	7,180	7,470	6,620	6,940	3,416,003	2,313
2013-9-19	7,270	7,780	7,000	7,140	5,407,905	2,380
2013-9-18	6,260	7,430	6,130	7,300	5,091,105	2,433
2013-9-17	6,710	6,900	6,330	6,440	4,284,304	2,146
2013-9-13	5,510	6,120	5,470	6,110	6,462,006	2,036
2013-9-12	5,240	5,420	5,110	5,120	2,458,002	1,706
2013-9-11	4,670	5,370	4,650	5,260	3,726,704	1,753
2013-9-10	4,880	5,200	4,830	4,880	2,906,303	1,626
2013-9-9	4,680	5,020	4,420	5,020	3,064,403	1,673
2013-9-6	4,700	4,920	4,245	4,495	4,280,504	1,498
2013-9-5	4,200	4,620	4,120	4,420	6,198,406	1,473
2013-9-4	3,680	3,975	3,650	3,920	1,417,301	1,306
2013-9-3	3,500	3,740	3,465	3,740	1,473,401	1,246
2013-9-2	3,505	3,520	3,430	3,460	326,700	1,153
